Some(3854868588740179	<a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3%E5%91%A8%E6%9D%B0%E4%BC%A6?from=feed">#中国好声音周杰伦#</a><a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a>『快讯』<a class="k" href="/k/%E5%91%A8%E6%9D%B0%E4%BC%A6?from=feed">#周杰伦#</a>今晚收了四位学员，其中有一位跟大导演李安重名的澳大利亚华裔，在今天的录制中获得4转，问：你的梦想是什么？答：我选周杰伦。。	1949176623	小周周全国后援会	红米Note	06-17 23:42	null	null	4	1	9	[742e132fjw1et7inj5iwnj20no0vkdhy]	中国好声音周杰伦 中国好声音 周杰伦
3857015779041264	6月20日下午，第三季<a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a> 人气学员“黑马”<a href="/n/%E4%BD%99%E6%9E%AB%E8%A6%81%E5%81%9A%E6%B4%BB%E7%A5%9E%E4%BB%99">@余枫要做活神仙</a> 出现在上海天马赛车场，与以往不同的是，这一次余枫是以赛车手的身份出现，此次余枫将正式代表海马M6参加中国房车锦标赛CTCC以及房车耐力赛。	5501296389	中国好声音第四季揭秘	小米手机	06-23 21:54	3856880076563816	null	1	0	6	[]	中国好声音 中国好声音
3820296060612539	[好棒][好棒][好棒]//<a href="/n/%E5%BC%A0%E7%A2%A7%E6%99%A8_">@张碧晨_</a>:<i class="face face_2 icon_10">[委屈]</i><i class="face face_2 icon_10">[委屈]</i><i class="face face_2 icon_10">[委屈]</i>	5390005546	zylovelx	金立智能手机	03-14 14:03	3819976077465066	3820286413115099	0	0	1	[]	中国好声音 duang (●—●)
3857225305454722	转发微博	2796315812	小小小青蛙童鞋	微博 weibo.com	14分钟前	3857208066044459	null	1	0	0	[]	中国好声音
3857225087187155	[开心][开心][开心][开心]  那英的造型 汪峰的头发 哈林的衣服 周杰伦<i class="face face_1 icon_20">[doge]</i>	3859521579	请叫我张明亮	红米手机	15分钟前	3857210717050822	null	0	0	1	[]	中国好声音
3857225208659379	<i class="face face_2 icon_14">[挤眼]</i>好好笑啊<i class="face face_1 icon_26">[色]</i>	1802555500	Harlem_Alva	微博搜索	14分钟前	3857208066044459	null	0	0	0	[]	中国好声音
3857225070394554	今年还蛮期待好声音的哦！	1765580713	可惜玖号没如果	iPhone 6	15分钟前	3856893804180969	null	0	0	0	[]	中国好声音
3856834135408075	<a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a>开录啦，学员奇葩，导“任性”。有人选周董的理由是酱婶儿滴：“昆凌肚子那么大，我想去看看”。还有<a href="/n/%E9%82%A3%E8%8B%B1">@那英</a> 添乱调侃说“你怎么没想想能看看章子怡呢”。<a href="/n/%E6%B1%AA%E5%B3%B0">@汪峰</a> <a class="k" href="/k/%E5%91%A8%E6%9D%B0%E4%BC%A6?from=feed">#周杰伦#</a><a href="/n/%E5%91%A8%E6%9D%B0%E4%BC%A6%E8%B5%84%E8%AE%AF%E7%BD%91%E5%AE%98%E6%96%B9%E5%BE%AE%E5%8D%9A">@周杰伦资讯网官方微博</a> <i class="face face_1 icon_19">[笑cry]</i><i class="face face_1 icon_20">[doge]</i><i class="face face_1 icon_19">[笑cry]</i><i class="face face_2 icon_20">[拜拜]</i>	2110705772	微博电视	iPhone 6 Plus	06-23 09:52	null	null	26	17	207	[7dced06cjw1etdsc11jkoj203c028q2s]	中国好声音 周杰伦
3856848518069033	【昆凌探班<a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a>】近日，《中国好声音》第四季正在如火如荼地录制，昨天（22日）傍晚时分，有网友在录制现场看到周杰伦妻子昆凌。已有五个多月身孕的昆凌，一身黑裙黑裤黑鞋现身，探班老公，虽然戴着口罩加一身黑，但她大腹便便的模样依旧遮不住&gt;&gt;&gt;<a data-url="http://t.cn/R2BmxPb" href="http://video.sina.com.cn/p/ent/z/y/2015-06-23/101565028859.html?ep=CnQT9xR7H%2C1878335471%2CCnQT9xR7H%2C1878335471" class="btn btn-normal btn-surl"><i class="iconimg iconimg-xxs"><img src="http://u1.sinaimg.cn/upload/2014/10/16/timeline_card_small_video_default.png"></i><span class="surl-text">视频：中国好声音 昆凌探班周董</span></a>	1878335471	新浪综艺	微博 weibo.com	06-23 10:50	null	null	17	15	250	[6ff51fefjw1etdtlnxmj9j20k00zkdjj,6ff51fefjw1etdtlo5euuj20k00zkq6m,6ff51fefjw1etdtlogp01j20k00zk0wk,6ff51fefjw1etdtlpoln8j20k00zkjva,6ff51fefjw1etdtlpzdv1j20k00zk0xm]	中国好声音
3857224969064778	转发微博	5096938199	嫣外雨	红米手机	15分钟前	3856893804180969	null	0	0	0	[]	中国好声音
3856880076563816	6月20日下午，第三季<a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a> 人气学员“黑马”<a href="/n/%E4%BD%99%E6%9E%AB%E8%A6%81%E5%81%9A%E6%B4%BB%E7%A5%9E%E4%BB%99">@余枫要做活神仙</a> 出现在上海天马赛车场，与以往不同的是，这一次余枫是以赛车手的身份出现，此次余枫将正式代表海马M6参加中国房车锦标赛CTCC以及房车耐力赛。	2819027752	中国好声音	微博 weibo.com	06-23 12:55	null	null	143	149	404	[a806f328gw1etdxn3behzj21kw11xqj9,a806f328gw1etdxn4bvxtj21kw11xqf1,a806f328gw1etdxn6f37bj21kw11x7c1,a806f328gw1etdxn8z8sfj21kw11x15m]	中国好声音
3857224843928665	//<a href="/n/%E5%B0%B1%E6%98%AF%E8%A6%81%E5%B9%B2%E7%B2%BE%E7%98%A6">@就是要干精瘦</a>: 笑死我了。你咋没说看看章子怡呢。	3211618553	我是小非侠	360安全浏览器	16分钟前	3857208066044459	3857224718243762	0	0	0	[]	中国好声音
3857224718243762	笑死我了。你咋没说看看章子怡呢。	1734672807	就是要干精瘦	iPhone 6	16分钟前	3857208066044459	null	1	0	0	[]	中国好声音
3857224013672653	转发微博	2474078895	J-大方方	三星android智能手机	19分钟前	3857210717050822	null	0	0	0	[]	中国好声音
3857223610715103	看着还是憔悴了，<i class="face face_2 icon_12">[可怜]</i>还是要多休息。	3903197775	散落的花骨朵	vivo智能手机客户端	21分钟前	3856923746857538	null	0	0	0	[]	中国好声音
3857210125495335	中国好声音第四季选手招募<a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a>	2456302827	杨盟萌萌	萌萌的盟Android	今天 10:47	3857208221957527	null	0	2	1	[]	中国好声音
3857223380056990	转发微博	3821237533	释箜soul	搜狗高速浏览器	22分钟前	3857210717050822	null	0	0	0	[]	中国好声音
3857035328661041	老板一定会好起来的//<a href="/n/%E6%B1%AA%E5%B3%B0%E8%80%81%E5%B8%88-%E6%88%91%E5%8F%AA%E7%88%B1%E4%BD%A0-%E6%B0%B8%E8%BF%9C-%E7%88%B1%E4%BD%A0-">@汪峰老师-我只爱你-永远-爱你-</a>:汪峰老师好点没有<i class="face face_1 icon_8">[泪]</i>//<a href="/n/%E6%B1%AA%E5%B3%B0%E6%88%91%E7%88%B1%E4%BD%A0%E4%B8%80%E8%BE%88%E5%AD%90">@汪峰我爱你一辈子</a>:我不要看好声音   我只希望峰哥好好的	2714654774	我的-男神-就-是-汪-峰-不是别人	Android客户端	06-23 23:12	3856923746857538	3857031981577770	0	0	7	[]	中国好声音
3857222080088882	转发微博	3839409819	钱朵朵688	红米Note	27分钟前	3857208066044459	null	0	0	0	[]	中国好声音
3857222037702651	转发微博	2194048674	执着的拥有隐形翅膀和最初的梦想	微博 weibo.com	27分钟前	3857210717050822	null	0	0	0	[]	中国好声音
3856883142018369	果然小蛮腰Momo要不能停<i class="face face_1 icon_20">[doge]</i><i class="face face_1 icon_20">[doge]</i><i class="face face_1 icon_20">[doge]</i><a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a> //<a href="/n/%E5%90%B4%E8%8E%AB%E6%84%81Momo-">@吴莫愁Momo-</a>:然而聪明的我早已看穿一切！破罐破摔！模仿自己！让吐槽来的更猛烈！ 纯腐竹是真的<i class="face face_2 icon_24">[心]</i>	2819027752	中国好声音	iPhone 6	06-23 13:07	3856815903522786	3856855464371196	29	14	224	[]	中国好声音
3857221521835082	转发微博	3496619404	低調奢華ISJerry	iPhone 6	29分钟前	3857210717050822	null	0	0	0	[]	中国好声音
3857221119448269	<i class="face face_1 icon_3">[哈哈]</i><i class="face face_1 icon_3">[哈哈]</i><i class="face face_1 icon_3">[哈哈]</i>	2990365347	雨过天_已晴	荣耀6 Plus	31分钟前	3857210717050822	null	0	0	0	[]	中国好声音
3857131432453415	<a class="k" href="/k/%E4%BD%99%E6%9E%ABHandsup?from=feed">#余枫Handsup#</a> <a class="k" href="/k/%E8%B5%9B%E8%BD%A6%E6%89%8B%E4%BD%99%E6%9E%AB?from=feed">#赛车手余枫#</a> 就是这么霸气这么酷<i class="face face_3 icon_3">[赞]</i>	3031435884	小清光男票雨箐	iPhone客户端	今天 05:34	3856880076563816	null	0	0	2	[]	余枫Handsup 赛车手余枫 中国好声音
3857220863555298	昆凌肚子辣么大，我想去看看,笑屎我了<i class="face face_1 icon_3">[哈哈]</i><i class="face face_1 icon_3">[哈哈]</i>	3916909310	我是鱼迷mimi	Android	32分钟前	3857210717050822	null	0	0	0	[]	中国好声音
3592739633082612	<i class="face face_3 icon_22">[围观]</i><i class="face face_3 icon_22">[围观]</i><i class="face face_3 icon_22">[围观]</i><a href="/n/%E6%B1%AA%E5%B3%B0%E5%90%8E%E6%8F%B4%E5%9B%A2">@汪峰后援团</a> <a href="/n/%E5%BC%A0%E6%83%A0%E5%A6%B9%E8%B5%84%E8%AE%AF%E5%8F%B0">@张惠妹资讯台</a>	3025895921	上海灿星制作	Android客户端	2013-06-24 15:35	3592737984830949	null	4	2	2	[]	中国好声音
3857220682623717	转发微博	2648164491	nancy2345	微博 weibo.com	32分钟前	3857208066044459	null	0	0	0	[]	中国好声音
3857220645402388	傑倫:製作方讓我說話说多一點。。。。	3167272260	范鹏飞-飛飛	小米手机2S	32分钟前	3857210717050822	null	0	0	0	[]	中国好声音
3857220330787738	快把他带回去<i class="face face_1 icon_19">[笑cry]</i><i class="face face_1 icon_19">[笑cry]</i><i class="face face_1 icon_19">[笑cry]</i><a href="/n/%E9%87%91%E6%98%9F">@金星</a> 	1953451932	吴某某一一吴婷	iPhone客户端	34分钟前	3857210717050822	null	0	0	0	[]	中国好声音
